"","temperature","U","temperature4","U_error"
"1",2104.90994916485,4.85962729409969e-06,19630623038844.7,4.85962729409969e-07
"2",2148.11286570972,6.72814909384782e-06,21292584771191.9,6.72814909384782e-07
"3",2187.2367867099,4.89817845578227e-06,22886701554582.1,4.89817845578227e-07
"4",2228.06318676696,5.44046669884004e-06,24643932592161.4,5.44046669884004e-07
"5",2267.75552015576,4.8257497846881e-06,26447518591507.9,4.8257497846881e-07
"6",2303.63266831421,6.36917637956557e-06,28161313992615.1,6.36917637956557e-07
"7",2338.54016381973,8.7778822418732e-06,29907446382569.8,8.7778822418732e-07
"8",2380.9299911558,7.59295781600667e-06,32135606616851.9,7.59295781600667e-07
"9",2413.05636736819,1.05416963796255e-05,33905477685063,1.05416963796255e-06
"10",2446.88997272759,6.97609185763857e-06,35847408502804.7,6.97609185763857e-07
"11",2479.87773795301,7.87219891654802e-06,37819961263500.4,7.87219891654802e-07
"12",2512.0509904568,7.87942578731303e-06,39821150414769.2,7.87942578731303e-07
