Run,Vset (V),Vlamp (V)
2,7,6.82
3,7.25,7.07
4,7.5,7.31
5,7.75,7.56
6,8,7.81
7,8.25,8.05
8,8.5,8.29
9,8.75,8.54
10,9,8.79
11,9.25,9.03
12,9.5,9.28
13,9.75,9.53
14,10,9.78
15,7,6.82
16,7.25,7.07
17,7.5,7.31
18,7.75,7.56
19,8,7.81
20,8.25,8.05
21,8.5,8.29
22,8.75,8.54
23,9,8.79
24,9.25,9.03
26,9.5,9.28
27,9.75,9.53
28,10,9.78
29,7,6.82
30,7.25,7.07
31,7.5,7.31
32,7.75,7.56
33,8,7.81
34,8.25,8.05
35,8.5,8.29
36,8.75,8.54
37,9,8.79
38,9.25,9.03
39,9.5,9.28
40,9.75,9.53
41,10,9.78
